,playerName,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,SOS,yearsInCollege,heightInCm,weightInKg,position,transferredSchools
27,Maurice Ager\agerma01,2005-06,Michigan State,Big Ten,34,34.0,34.4,6.6,14.6,0.457,4.2,8.1,0.522,2.4,6.5,0.376,3.6,4.7,0.7609999999999999,0.7,3.4,4.1,2.5,0.7,0.3,2.6,2.4,19.3,,7.27,4,196,91,Guard,0
28,Darius Morris\morrida01,2010-11,Michigan,Big Ten,35,34.0,34.8,5.7,11.7,0.489,5.3,9.9,0.5329999999999999,0.5,1.8,0.25,3.1,4.3,0.715,0.9,3.1,4.0,6.7,1.0,0.0,2.9,2.1,15.0,,10.68,2,193,86,Guard,0
29,Mateen Cleaves\cleavma01,1999-00,Michigan State,Big Ten,26,,31.5,4.2,10.0,0.42100000000000004,3.0,6.7,0.44299999999999995,1.2,3.3,0.376,2.5,3.3,0.7559999999999999,,,1.8,6.9,1.4,0.2,3.7,2.2,12.1,,9.91,4,188,92,Guard,0
30,Billy Garrett\garrebi01,2016-17,DePaul,Big East,32,32.0,29.3,4.4,11.3,0.38799999999999996,3.1,7.8,0.39899999999999997,1.3,3.5,0.363,4.9,5.6,0.882,0.4,2.5,2.9,3.3,1.2,0.2,3.3,2.5,14.9,,7.78,4,198,92,Guard,0
31,John Amaechi\amaecjo01,1994-95,Vanderbilt,Big Ten,24,,13.0,1.1,2.4,0.456,1.1,2.4,0.456,0.0,0.0,,0.6,1.0,0.56,,,2.7,0.3,0.4,0.5,1.1,1.5,2.8,,,6,208,122,Center,0
32,Alan Williams\willial03,2003-04,Wake Forest,ACC,8,0.0,1.8,0.1,0.5,0.25,0.0,0.0,,0.1,0.5,0.25,0.3,0.3,1.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.6,,11.03,4,190,80,Guard,0
33,Ervin Johnson\johnser02,1992-93,New Orleans,Sun Belt,29,,33.3,7.2,11.6,0.619,7.2,11.6,0.619,0.0,0.0,,4.1,6.0,0.674,,,11.9,0.6,0.9,2.7,2.6,3.0,18.4,,0.55,4,211,111,Center,0
34,Isaac Humphries\humphis01,2016-17,Kentucky,SEC,38,1.0,8.3,1.2,2.3,0.511,1.2,2.3,0.511,0.0,0.0,,0.4,0.7,0.6,1.3,1.4,2.8,0.2,0.2,0.5,0.4,1.5,2.8,,10.49,2,213,117,Forward,0
35,Daequan Cook\cookda02,2006-07,Ohio State,Big Ten,39,1.0,19.7,3.6,8.1,0.445,2.2,4.8,0.465,1.4,3.3,0.415,1.2,1.7,0.6970000000000001,0.7,3.6,4.3,1.0,0.7,0.3,1.4,1.7,9.8,,9.03,1,196,92,Guard,0
36,Jay Williams\willija03,2001-02,Duke,ACC,35,35.0,33.6,7.1,15.6,0.457,4.0,7.5,0.536,3.1,8.1,0.38299999999999995,4.0,5.9,0.6759999999999999,0.8,2.8,3.5,5.3,2.2,0.1,3.7,2.3,21.3,,9.16,3,188,88,Guard,0
