playerName,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,SOS,yearsInCollege,heightInCm,weightInKg,position
DeAndre Jordan\jordade01,2007-08,Texas A&M,Big 12,35,21,20.1,3.2,5.2,0.617,3.2,5.2,0.617,0,0,,1.5,3.4,0.437,1.9,4.1,6,0.4,0.2,1.3,1.6,1.9,7.9,,7.46,1,211,113,Center
Tahjere McCall\mccalta01,,Niagara,,59,37,21.1,2.1,5.3,0.393,2.1,4.9,0.422,0,0.4,0.077,1.4,2.3,0.612,1.5,1.7,3.2,2.2,1.2,0.1,2.1,2.5,5.6,,,6,193,72,Guard
Gian Clavell\clavegi01,2016-17,Colorado State,MWC,27,26,36.6,7.1,16.6,0.43,4.3,9.1,0.466,2.9,7.5,0.386,3.3,4.7,0.693,1.4,4.9,6.3,1.7,2,0.7,2,2.1,20.4,,2.17,3,193,83,Guard
Eddie House\houseed01,1999-00,Arizona State,Pac-10,32,,37.2,8.2,19.5,0.422,5.9,13.2,0.449,2.3,6.3,0.365,4.3,5.1,0.835,,,5.5,3.5,2.3,0.1,2.3,2.1,23,,8.75,4,185,81,Guard
Robbie Hummel\hummero01,2011-12,Purdue,Big Ten,35,35,32.2,5.5,13.3,0.417,3.5,7.9,0.44,2.1,5.4,0.383,3.2,3.9,0.825,1.6,5.6,7.2,1.9,0.7,1.2,0.9,2.1,16.4,,8.05,4,203,97,Forward
Deng Gai\gaide01,2004-05,Fairfield,MAAC,30,30,34.7,5.2,11,0.474,4.6,9.1,0.504,0.6,1.9,0.333,2.8,3.8,0.722,2.7,5.8,8.5,1.3,0.6,5.5,2.1,2.8,13.9,,-3.23,4,206,113,Forward
Lavoy Allen\allenla01,2010-11,Temple,A-10,33,33,33.9,4.7,9.7,0.48,4.5,9.2,0.49,0.2,0.5,0.294,2.1,3,0.697,2.7,5.9,8.6,2.3,0.7,1.8,1.6,2.3,11.6,,4.23,4,206,102,Forward
Joe Harris\harrijo01,2011-12,Central Arkansas,Southland,15,1,10.1,1.3,2.8,0.452,0.7,1.2,0.556,0.6,1.6,0.375,0,0.3,0,0.6,1,1.6,0.3,0.2,0,0.4,0.7,3.1,,-4.83,1,198,89,Forward
Tony Bobbitt\bobbito01,2003-04,Cincinnati,CUSA,32,1,22.4,4.7,10.3,0.455,2,3.7,0.551,2.7,6.6,0.401,1.3,1.6,0.843,0.4,3,3.4,1.9,1.5,0.1,1.1,3,13.4,,6.28,2,193,86,Guard
Mikki Moore\mooremi01,1996-97,Nebraska,Big 12,33,,30.6,4.4,7.5,0.583,4.3,7.4,0.584,0,0.1,0.5,2.9,4.2,0.701,,,7.4,1.3,1.1,2.7,2.5,3.2,11.7,,8.15,4,211,102,Center
Bracey Wright\wrighbr02,2004-05,Indiana,Big Ten,26,26,35.3,5.8,14,0.413,3.8,8.1,0.474,1.9,5.8,0.329,4.8,6.2,0.783,1.3,3.5,4.8,2.7,1.1,0.6,2.6,1.9,18.3,,10.01,3,190,95,Guard
Landry Shamet\shamela01,2017-18,Wichita State,AAC,32,32,31.7,4.8,9.8,0.489,2.2,3.9,0.56,2.6,5.9,0.442,2.7,3.2,0.825,0.4,2.8,3.2,5.2,0.7,0.2,2.1,1.9,14.9,,5.46,3,193,81,Guard
Isaac Austin\austiis01,1990-91,Arizona State,Pac-10,30,,30.2,6.3,11,0.571,6.3,11,0.573,0,0,0,3.7,5.9,0.629,,,8.7,1.9,1,0.6,2.5,2.8,16.3,,8.93,2,208,115,Center
Michael Bradley\bradlmi01,,Kentucky,,69,,21.9,2.7,4.1,0.658,2.7,4.1,0.658,0,0,,1,2.1,0.469,,,3.4,0.8,0.5,0.7,1.7,1,6.4,,,5,208,111,Center
Brian Cook\cookbr01,2002-03,Illinois,Big Ten,30,30,31.3,6.7,14.1,0.479,5.8,11.1,0.526,0.9,3,0.303,5.6,6.8,0.82,1.5,6.1,7.6,2,0.7,0.4,2.8,2.9,20,,6.76,4,206,106,Forward
Andre Brown\brownan01,2003-04,DePaul,CUSA,23,23,32.2,5.3,9.3,0.57,5.3,9.3,0.57,0,0,,2.9,6,0.482,3.7,5.5,9.2,0.3,0.6,0.8,1.7,2.4,13.5,,6.38,4,206,111,Forward
Eddie Gill\gilled01,1999-00,Weber State,Big Sky,28,,36,4.6,11.6,0.394,2.7,6.5,0.415,1.9,5.1,0.366,5.3,6.2,0.861,,,6.4,6.9,3.2,0.3,3.9,2.6,16.3,,0.46,2,183,86,Guard
Loy Vaught\vaughlo01,1989-90,Michigan,Big Ten,31,31,30,6.4,10.7,0.595,6.4,10.6,0.597,0,0,0,2.8,3.5,0.804,,,11.2,1,0.5,0.8,1.5,3.2,15.5,,10.27,4,206,104,Forward
Adonis Thomas\thomaad01,2012-13,Memphis,CUSA,36,36,29.3,4.3,10.6,0.405,3.6,8.2,0.439,0.7,2.5,0.292,2.4,3.1,0.752,1.5,2.9,4.5,1.9,0.7,0.7,1.6,1.4,11.7,,2.7,2,201,108,Forward
Isaac Fontaine\fontais01,1996-97,Washington State,Pac-10,30,,34.3,7.3,14.8,0.497,4.8,9.1,0.531,2.5,5.7,0.441,4.7,6,0.785,,,4,2.5,1.3,0.3,,,21.9,,7.71,4,193,95,Guard
George McCloud\mccloge01,1988-89,Florida State,Metro,30,28,35.6,6.9,15.4,0.448,3.1,6.7,0.46,3.8,8.7,0.439,5.1,5.9,0.875,,,3.6,4.2,1.8,0.2,3.2,2.3,22.8,,4.19,4,198,92,Guard
