,playerName,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,SOS,yearsInCollege,heightInCm,weightInKg,position,transferredSchools
11,Jimmy King\kingji02,1994-95,Michigan,Big Ten,31,,34.0,5.4,12.5,.433,4.5,9.0,.502,0.9,3.5,.257,3.0,4.4,.679,,,5.0,2.9,1.9,0.2,3.0,2.3,14.7,,8.90,4,196,95,Guard,0
12,Morlon Wiley\wileymo01,1987-88,Long Beach State,PCAA,29,,33.7,7.5,14.7,.513,5.6,9.9,.559,2.0,4.7,.416,2.9,3.8,.766,,,4.0,4.1,2.6,0.1,2.4,3.3,19.9,,6.64,4,193,83,Guard,0
13,Tim Perry\perryti01,1987-88,Temple,A-10,33,33,33.4,6.2,10.5,.585,6.2,10.5,.585,0.0,0.0,,2.2,3.4,.637,,,8.0,0.7,0.8,3.6,1.3,2.1,14.5,,2.99,4,206,90,Forward,0
14,Chris King\kingch01,1991-92,Wake Forest,ACC,27,27,31.3,6.1,12.2,.505,5.7,11.0,.522,0.4,1.2,.344,2.6,3.7,.693,,,5.1,2.1,1.0,0.6,2.8,1.8,15.3,,7.28,4,203,97,Forward,0
15,Tony Dumas\dumasto01,1993-94,UMKC,Ind,29,,38.4,7.9,18.8,.421,5.3,11.7,.457,2.6,7.1,.361,7.6,10.1,.757,,,5.7,3.0,1.7,0.7,3.8,2.7,26.0,,-1.24,4,198,86,Guard,0
16,Chris Jent\jentch01,1991-92,Ohio State,Big Ten,32,32,30.1,4.8,9.7,.490,3.7,6.8,.537,1.1,2.9,.380,2.0,2.8,.730,,,5.3,1.8,1.1,0.1,1.6,2.2,12.6,,10.58,4,201,99,Guard,0
17,Evric Gray\grayev01,1992-93,UNLV,Big West,29,,30.6,5.8,11.4,.509,4.8,7.9,.610,1.0,3.6,.288,3.5,4.8,.739,,,7.4,2.4,1.1,2.1,,,16.2,,3.07,3,201,106,Forward,0
18,Fred Vinson\vinsofr01,1993-94,Georgia Tech,ACC,29,17,30.8,4.2,9.8,.428,1.7,3.6,.481,2.5,6.2,.398,1.0,1.2,.824,,,3.9,1.3,1.1,0.2,1.7,1.4,11.9,,9.03,2,193,86,Guard,0
19,Rich King\kingri01,1990-91,Nebraska,Big 8,34,27,27.3,5.9,10.4,.574,5.9,10.2,.576,0.1,0.1,.400,3.5,5.3,.670,,,8.1,2.6,0.7,2.0,2.6,2.6,15.5,,9.49,4,218,117,Center,0
20,Larry Sykes\sykesla01,1994-95,Xavier,MW Coll,27,,30.4,3.9,7.5,.517,3.9,7.5,.520,0.0,0.0,.000,2.4,4.1,.580,,,10.8,1.6,1.0,0.1,,,10.2,,-0.89,4,206,115,Forward,0
21,Carl Thomas\thomaca01,1990-91,Eastern Michigan,MAC,33,,33.2,4.7,9.5,.495,2.0,3.8,.540,2.7,5.8,.466,1.9,2.5,.762,,,4.5,3.2,1.7,0.5,2.2,2.4,14.1,,0.50,4,193,79,Guard,0
22,Rumeal Robinson\robinru01,1989-90,Michigan,Big Ten,30,30,34.0,6.7,13.7,.490,5.1,9.8,.522,1.6,3.9,.410,4.2,6.2,.676,,,3.0,6.1,1.4,0.5,4.0,3.3,19.2,,10.27,3,188,88,Guard,0
23,Eric Washington\washier01,1996-97,Alabama,SEC,30,,31.5,5.6,13.0,.429,3.1,6.3,.484,2.5,6.6,.377,2.5,3.2,.773,,,6.3,1.2,1.5,0.8,1.9,2.4,16.1,,6.04,4,193,86,Forward,0
24,Tim Young\youngti01,1998-99,Stanford,Pac-10,33,,24.9,3.6,7.1,.506,3.6,7.1,.506,0.0,0.0,,2.8,3.5,.825,,,7.2,2.0,0.4,0.9,1.8,2.5,10.0,,10.34,5,213,99,Center,0
25,Keith Tower\towerke01,1991-92,Notre Dame,Ind,31,,25.0,1.8,4.5,.396,1.8,4.4,.401,0.0,0.1,.000,0.8,1.4,.545,,,5.3,1.4,0.5,0.8,2.1,3.8,4.3,,10.99,4,211,113,Center,0
26,Ron Grandison\grandro01,1986-87,New Orleans,Ind,30,,35.3,6.0,11.3,.528,6.0,11.3,.530,0.0,0.0,.000,5.2,7.7,.671,,,9.7,1.8,,,,,17.1,,-0.80,4,198,97,Forward,1
27,Duane Ferrell\ferredu01,1987-88,Georgia Tech,ACC,32,32,32.8,7.2,13.5,.532,7.1,13.1,.541,0.1,0.4,.286,4.1,5.5,.749,,,6.6,1.4,1.2,0.8,2.8,3.0,18.6,,7.43,4,201,94,Guard,0
28,Lou Roe\roelo01,1994-95,UMass,A-10,34,32,28.6,5.9,11.0,.532,5.8,10.9,.534,0.0,0.1,.333,4.7,6.7,.706,,,8.1,1.7,0.6,1.1,2.3,2.4,16.5,,8.03,4,201,99,Forward,0
29,Tom Tolbert\tolbeto01,1987-88,Arizona,Pac-10,38,,27.2,5.1,9.2,.547,5.0,9.2,.547,0.0,0.1,.500,4.0,4.9,.812,,,5.8,0.7,0.8,0.5,2.1,2.6,14.1,,8.45,4,201,106,Forward,1
30,Ben Davis\davisbe01,1995-96,Arizona,Pac-10,33,33,31.5,5.2,9.5,.546,5.2,9.5,.546,0.0,0.0,,3.8,5.6,.690,,,9.5,0.7,0.6,0.6,2.3,2.8,14.2,,8.42,3,206,108,Forward,1
31,Steve Hamer\hamerst01,1995-96,Tennessee,SEC,29,29,33.0,6.4,11.2,.575,6.4,11.2,.575,0.0,0.0,,5.3,8.7,.615,,,9.4,1.0,0.4,1.3,2.9,2.9,18.2,,9.20,4,213,111,Center,0
32,Stacey King\kingst01,1988-89,Oklahoma,Big 8,33,,34.6,9.8,18.7,.524,9.8,18.7,.524,0.0,0.0,,6.4,8.9,.718,,,10.1,1.9,1.2,2.3,2.8,2.8,26.0,,10.26,4,211,104,Center,0
33,Kevin Pritchard\pritcke01,1989-90,Kansas,Big 8,35,35,27.9,5.1,9.6,.525,3.7,6.5,.572,1.3,3.1,.426,3.0,3.7,.815,,,2.5,5.1,1.7,0.3,2.6,2.4,14.5,,8.31,4,190,81,Guard,0
34,Kevin Gamble\gamblke01,1986-87,Iowa,Big Ten,35,33,24.8,4.6,8.5,.544,3.9,6.3,.617,0.7,2.2,.329,2.0,2.8,.697,,,4.5,1.7,1.1,0.2,1.3,2.1,11.9,,7.98,2,196,95,Guard,0
35,Corey Beck\beckco01,1994-95,Arkansas,SEC,39,39,29.1,2.6,5.3,.493,2.0,4.1,.494,0.6,1.3,.490,2.1,3.1,.672,,,4.8,5.3,1.8,0.2,2.7,3.4,7.9,,10.45,3,185,86,Guard,0
36,Trevor Wilson\wilsotr01,1989-90,UCLA,Pac-10,33,33,33.5,7.0,14.2,.495,7.0,14.1,.496,0.0,0.1,.333,3.1,6.2,.507,,,9.1,2.9,1.2,0.4,2.6,2.8,17.2,,8.75,4,201,95,Forward,0
37,Haywoode Workman\workmha01,1988-89,Oral Roberts,Ind,28,26,35.0,7.3,15.1,.483,6.0,11.5,.520,1.3,3.6,.366,3.9,4.8,.815,,,6.1,3.9,3.3,0.1,2.6,3.0,19.9,,6.55,3,188,81,Guard,0
38,Vincent Askew\askewvi01,1986-87,Memphis,Metro,34,33,34.2,5.5,11.4,.483,5.0,10.1,.496,0.5,1.2,.381,3.6,4.6,.787,,,5.0,3.8,1.5,0.1,2.5,1.6,15.1,,4.30,3,198,95,Guard,0
39,Willie Anderson\anderwi01,1987-88,Georgia,SEC,35,,33.2,6.9,13.8,.500,6.6,12.5,.527,0.3,1.3,.227,2.6,3.3,.784,,,5.1,4.0,1.9,1.4,3.7,2.8,16.7,,7.60,4,201,86,Forward,0
40,Brian Evans\evansbr01,1995-96,Indiana,Big Ten,31,,37.3,6.8,15.3,.447,4.8,10.2,.475,2.0,5.1,.392,5.5,6.5,.847,,,7.1,4.1,1.4,0.6,2.3,1.8,21.2,,10.87,4,203,99,Forward,0
