playerName,Season,School,Conf,position,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,spacer1,SOS,yearsInCollege,heightInCm,weightInKg,transferredSchools
Charles Bassey,2018-19,Western Kentucky,CUSA,Center,34,34,31.4,5.5,8.8,0.627,5.3,8.2,0.639,0.3,0.6,0.45,3.2,4.2,0.769,2.9,7.1,10,0.7,0.8,2.4,2.9,2.6,14.6,,0.96,1,211,111,0
Brandon Clarke,2018-19,Gonzaga,WCC,Forward,37,36,28.1,6.9,10.1,0.687,6.8,9.7,0.705,0.1,0.4,0.267,2.9,4.2,0.694,3.1,5.5,8.6,1.9,1.2,3.2,1.5,2.1,16.9,,5.01,3,203,97,1
Joe Wieskamp,2018-19,Iowa,Big Ten,Guard,35,35,27.7,3.6,7.3,0.488,1.9,3.3,0.564,1.7,4,0.424,2.3,2.9,0.767,1.4,3.5,4.9,1.1,0.9,0.5,1.1,1.9,11.1,,9.84,1,198,92,0
Louis King,2018-19,Oregon,Pac-12,Forward,31,28,30.4,4.8,11,0.435,2.9,6,0.476,1.9,4.9,0.386,2,2.5,0.785,1.3,4.2,5.5,1.3,0.9,0.2,2.1,2.5,13.5,,6.13,1,206,92,0
Isaiah Roby,2018-19,Nebraska,Big Ten,Forward,35,35,31.2,4.2,9.3,0.454,3.4,6.9,0.496,0.8,2.4,0.333,2.6,3.8,0.677,1.9,5,6.9,1.9,1.3,1.9,2,3.2,11.8,,11.31,3,203,104,0
Markis McDuffie,2018-19,Wichita State,AAC,Forward,37,37,33.4,5.8,14.2,0.408,3.5,7.5,0.466,2.3,6.6,0.341,4.3,5.3,0.816,1.8,3.2,5,1,1,0.2,1.6,1.9,18.2,,5.91,4,203,98,0
Chuma Okeke,2018-19,Auburn,SEC,Forward,38,38,29.1,4.4,8.9,0.496,3,5.2,0.574,1.4,3.7,0.387,1.7,2.4,0.722,2.8,4.1,6.8,1.9,1.8,1.2,1.7,1.9,12,,10.92,2,203,104,0
Admiral Schofield,2018-19,Tennessee,SEC,Guard,37,37,31.8,6.4,13.6,0.474,4.4,8.8,0.505,2,4.8,0.418,1.6,2.3,0.698,1.2,5,6.1,2,0.9,0.5,1.9,2.5,16.5,,10.16,4,198,109,0
Terence Davis,2018-19,Ole Miss,SEC,Guard,33,32,31,5.4,12.2,0.444,3.5,6.9,0.5,2,5.3,0.371,2.4,3.1,0.772,1.1,4.7,5.8,3.5,1.6,0.6,2.8,2.7,15.2,,8.13,4,193,92,0
Kris Wilkes,2018-19,UCLA,Pac-12,Guard,33,33,31.7,6.2,14.3,0.433,4.1,8.1,0.508,2.1,6.2,0.337,2.9,4.3,0.671,1.2,3.6,4.8,1.7,0.6,0.4,1.9,2.2,17.4,,6.78,2,203,97,0
Tyler Herro,2018-19,Kentucky,SEC,Guard,37,37,32.6,5,10.9,0.462,3.4,6.3,0.538,1.6,4.6,0.355,2.4,2.5,0.935,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3,14,,10.29,1,196,88,0
Luguentz Dort,2018-19,Arizona State,Pac-12,Guard,34,33,31.5,5.1,12.6,0.405,3.5,7.5,0.472,1.6,5.2,0.307,4.3,6.1,0.7,1.3,3,4.3,2.3,1.5,0.2,2.9,3,16.1,,6.04,1,193,97,0
Jaxson Hayes,2018-19,Texas,Big 12,Forward,32,21,23.3,3.8,5.3,0.728,3.8,5.3,0.728,0,0,,2.3,3.1,0.74,1.8,3.3,5,0.3,0.6,2.2,0.9,3.3,10,,11.46,1,211,99,0
Sagaba Konate,2018-19,West Virginia,Big 12,Forward,8,7,24.1,4.6,10.6,0.435,3.5,7.8,0.452,1.1,2.9,0.391,3.3,4,0.813,1.9,6.1,8,1.4,0.8,2.8,2.1,3.3,13.6,,10.57,3,203,113,0
